,AA,DL,year, month,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
4317,0,1,2005,11,840.0,203.0,53.35,0.47,75.17,0.0,74.02,2.0,2.0,8917.0,2815.0,15.0,2374.0,0.0,3713.0
4321,0,1,2009,1,840.0,216.0,46.54,7.39,112.72,0.62,48.74,4.0,0.0,10130.0,2146.0,497.0,4383.0,36.0,3068.0
4322,0,1,2012,4,840.0,81.0,35.15,1.26,26.77,0.0,17.81,1.0,1.0,3602.0,2106.0,32.0,659.0,0.0,805.0
4395,0,1,2009,2,84.0,14.0,3.20,0.0,8.81,0.0,1.99,0.0,0.0,490.0,193.0,0.0,225.0,0.0,72.0
4487,0,1,2007,2,839.0,240.0,59.74,8.93,119.73,0.0,51.59,22.0,0.0,13137.0,3514.0,1118.0,5242.0,0.0,3263.0
4489,0,1,2011,9,839.0,64.0,25.32,1.0,22.38,0.0,15.30,0.0,1.0,3221.0,1904.0,20.0,571.0,0.0,726.0
4491,0,1,2012,7,839.0,205.0,68.62,10.56,54.82,0.0,70.99,5.0,2.0,13994.0,4508.0,881.0,3125.0,0.0,5480.0
4500,0,1,2010,9,838.0,267.0,55.42,4.91,178.80,0.0,27.87,13.0,0.0,12715.0,2510.0,322.0,8348.0,0.0,1535.0
4502,0,1,2012,6,838.0,147.0,64.86,1.49,42.38,0.0,38.27,3.0,2.0,8037.0,4100.0,100.0,1607.0,0.0,2230.0
4504,0,1,2013,1,838.0,117.0,42.99,4.58,50.57,0.0,18.85,8.0,8.0,6953.0,2619.0,445.0,2688.0,0.0,1201.0
4509,0,1,2006,7,837.0,213.0,51.09,4.36,83.47,0.0,74.07,15.0,3.0,10849.0,2705.0,244.0,3067.0,0.0,4833.0
4518,0,1,2017,5,837.0,130.0,44.34,2.28,52.74,0.0,30.64,1.0,2.0,9023.0,3627.0,113.0,3151.0,0.0,2132.0
4526,0,1,2008,2,836.0,207.0,56.06,8.25,103.09,0.0,39.60,10.0,3.0,11187.0,3650.0,752.0,4221.0,0.0,2564.0
4535,0,1,2015,1,836.0,89.0,39.32,11.02,23.34,0.0,15.31,6.0,0.0,4851.0,2331.0,865.0,873.0,0.0,782.0
4537,0,1,2016,8,836.0,144.0,63.06,6.05,40.47,0.0,34.42,12.0,6.0,13671.0,7767.0,298.0,2073.0,0.0,3533.0
4539,0,1,2016,10,836.0,81.0,37.21,0.5,22.13,0.0,21.16,0.0,1.0,3368.0,1963.0,23.0,546.0,0.0,836.0
4545,0,1,2011,9,835.0,128.0,31.76,1.32,67.88,0.0,27.04,3.0,4.0,5406.0,1471.0,60.0,2524.0,0.0,1351.0
4553,0,1,2016,4,835.0,98.0,51.56,1.94,23.97,0.0,20.52,0.0,2.0,5681.0,3664.0,73.0,636.0,0.0,1308.0
4560,0,1,2008,10,834.0,102.0,28.11,2.08,40.90,0.0,30.91,31.0,0.0,4355.0,1170.0,214.0,1070.0,0.0,1901.0
4563,0,1,2013,5,834.0,136.0,41.05,1.05,71.79,0.0,22.10,1.0,2.0,7906.0,2517.0,54.0,4279.0,0.0,1056.0
4564,0,1,2013,8,834.0,145.0,66.76,2.47,37.27,0.0,38.50,2.0,1.0,6364.0,2999.0,90.0,1358.0,0.0,1917.0
4565,0,1,2014,7,834.0,148.0,52.43,5.24,51.83,0.0,38.51,1.0,2.0,8682.0,3272.0,519.0,1893.0,0.0,2998.0
4586,0,1,2006,8,832.0,225.0,62.16,2.59,90.65,2.2,67.40,27.0,0.0,12094.0,3694.0,165.0,3268.0,144.0,4823.0
4592,0,1,2013,7,832.0,222.0,82.87,11.8,63.36,0.0,63.97,4.0,5.0,12298.0,4459.0,627.0,2641.0,0.0,4571.0
4593,0,1,2013,8,832.0,100.0,44.52,2.84,29.03,0.0,23.61,1.0,1.0,5743.0,2975.0,266.0,1072.0,0.0,1430.0
4594,0,1,2014,11,832.0,144.0,42.36,7.51,82.50,0.0,11.64,0.0,0.0,5675.0,1915.0,552.0,2698.0,0.0,510.0
4595,0,1,2017,12,832.0,140.0,58.67,9.89,46.08,0.0,25.36,9.0,1.0,8152.0,3296.0,1022.0,1804.0,0.0,2030.0
4604,0,1,2007,2,831.0,142.0,37.15,2.04,77.79,0.0,25.01,80.0,2.0,6651.0,2055.0,277.0,2946.0,0.0,1373.0
4624,0,1,2013,10,830.0,57.0,22.39,0.67,25.77,0.0,8.17,1.0,4.0,2131.0,994.0,48.0,644.0,0.0,445.0
4629,0,1,2016,8,830.0,153.0,74.18,2.81,24.90,1.0,50.11,12.0,0.0,11235.0,6240.0,191.0,1220.0,21.0,3563.0
4737,0,1,2007,8,829.0,257.0,77.58,7.24,94.98,0.0,77.20,4.0,1.0,14547.0,4892.0,734.0,4221.0,0.0,4700.0
4740,0,1,2013,2,829.0,121.0,41.63,3.04,41.74,0.0,34.59,7.0,2.0,5567.0,2498.0,281.0,1258.0,0.0,1530.0
4743,0,1,2017,1,829.0,146.0,64.61,17.97,27.35,0.0,36.07,7.0,3.0,11743.0,5358.0,1797.0,1517.0,0.0,3071.0
4753,0,1,2016,10,828.0,67.0,27.44,3.45,23.73,0.0,12.37,0.0,1.0,2616.0,1284.0,86.0,766.0,0.0,480.0
4767,0,1,2014,10,827.0,114.0,33.76,4.15,57.85,1.0,17.24,0.0,1.0,4397.0,1381.0,247.0,2028.0,37.0,704.0
4769,0,1,2016,11,827.0,53.0,24.59,0.85,8.92,0.67,17.97,0.0,0.0,2930.0,1414.0,50.0,196.0,29.0,1241.0
4776,0,1,2012,8,826.0,173.0,58.52,3.74,65.45,0.0,45.29,3.0,1.0,10104.0,3476.0,221.0,3129.0,0.0,3278.0
4778,0,1,2013,3,826.0,160.0,59.61,1.35,66.52,0.0,32.53,7.0,1.0,8091.0,3155.0,199.0,2604.0,0.0,2133.0
4782,0,1,2016,8,826.0,171.0,71.51,5.0,49.80,0.0,44.70,20.0,1.0,16085.0,8069.0,272.0,3126.0,0.0,4618.0
4792,0,1,2007,12,825.0,144.0,40.12,4.21,57.40,0.0,42.27,52.0,1.0,5914.0,1884.0,213.0,2002.0,0.0,1815.0
4793,0,1,2012,11,825.0,80.0,22.33,2.1,30.93,0.94,23.70,7.0,0.0,3508.0,1333.0,97.0,894.0,16.0,1168.0
4798,0,1,2016,3,825.0,81.0,26.07,4.95,29.02,0.0,20.96,0.0,0.0,4163.0,1337.0,909.0,1021.0,0.0,896.0
4799,0,1,2016,6,825.0,172.0,53.27,11.32,60.12,0.0,47.29,0.0,1.0,13258.0,4905.0,1397.0,3571.0,0.0,3385.0
4819,0,1,2013,11,824.0,74.0,35.04,2.16,18.10,0.0,18.69,0.0,0.0,3326.0,1719.0,67.0,659.0,0.0,881.0
4821,0,1,2014,2,824.0,198.0,53.88,19.66,96.06,0.0,28.40,15.0,1.0,10250.0,2965.0,1620.0,4090.0,0.0,1575.0
4822,0,1,2014,5,824.0,154.0,51.20,7.02,60.19,1.0,34.59,1.0,0.0,9291.0,2870.0,491.0,3614.0,113.0,2203.0
4823,0,1,2014,12,824.0,92.0,21.33,3.03,59.16,0.0,8.48,0.0,1.0,5310.0,1298.0,162.0,3391.0,0.0,459.0
4834,0,1,2005,10,823.0,145.0,41.82,1.19,62.94,0.0,39.05,17.0,0.0,6196.0,2598.0,45.0,1793.0,0.0,1760.0
4836,0,1,2007,6,823.0,280.0,84.96,5.12,118.59,1.0,70.33,18.0,5.0,17243.0,5305.0,424.0,6246.0,23.0,5245.0
4841,0,1,2016,3,823.0,110.0,38.75,2.97,44.92,0.0,23.36,24.0,4.0,6162.0,3074.0,113.0,1819.0,0.0,1156.0
4855,0,1,2012,2,822.0,82.0,39.22,0.83,23.81,0.0,18.14,0.0,0.0,3806.0,2222.0,31.0,862.0,0.0,691.0
4856,0,1,2013,4,822.0,111.0,38.22,2.0,47.67,0.0,23.11,1.0,0.0,6023.0,2569.0,83.0,1904.0,0.0,1467.0
4860,0,1,2004,9,821.0,156.0,50.73,2.64,69.58,0.0,33.05,129.0,3.0,7202.0,2404.0,344.0,2345.0,0.0,2109.0
4865,0,1,2008,9,821.0,93.0,23.19,1.52,49.80,0.0,18.50,20.0,1.0,2909.0,978.0,50.0,1298.0,0.0,583.0
4866,0,1,2010,10,821.0,128.0,57.12,2.62,40.18,0.0,28.09,1.0,2.0,5829.0,2977.0,182.0,1170.0,0.0,1500.0
4920,0,1,2009,4,82.0,22.0,4.05,0.47,13.35,0.0,4.13,0.0,0.0,945.0,324.0,9.0,308.0,0.0,304.0
4981,0,1,2006,3,819.0,97.0,38.68,1.0,20.12,0.0,37.20,4.0,0.0,4676.0,2083.0,33.0,599.0,0.0,1961.0
4984,0,1,2008,4,819.0,223.0,50.46,1.82,101.47,0.0,69.25,1.0,2.0,11458.0,3071.0,94.0,3559.0,0.0,4734.0
5004,0,1,2014,6,818.0,179.0,59.76,8.74,87.60,0.0,22.89,0.0,1.0,10542.0,3758.0,619.0,4801.0,0.0,1364.0
5006,0,1,2015,6,818.0,199.0,60.00,9.47,79.13,0.0,50.40,5.0,8.0,12249.0,2968.0,759.0,4929.0,0.0,3593.0
5022,0,1,2014,8,817.0,130.0,45.34,10.53,43.75,0.0,30.38,2.0,3.0,6691.0,2165.0,1003.0,1434.0,0.0,2089.0
5024,0,1,2016,9,817.0,83.0,29.67,3.84,30.20,0.0,19.30,0.0,0.0,4580.0,1652.0,235.0,1049.0,0.0,1644.0
5028,0,1,2005,12,816.0,255.0,76.98,9.44,101.32,0.0,67.26,12.0,0.0,14091.0,4921.0,780.0,4180.0,0.0,4210.0
